first_commit_message,title,first_comment,files_changed,file_extension,labels,lines_added,lines_removed,everything,all_excluding_first_commit,all_excluding_title,all_excluding_first_comment,all_excluding_labels,all_without_file_extensions,all_string_data,title_commit_comment,final_tag
Move compiler compatibility checks into CMake,Add CUDA 9.2 support to 0.3.2 release,"add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528",49,cmake md hpp sh cpp txt,CUDA WorkInProgress,288,297,"Move compiler compatibility checks into CMake Add CUDA 9.2 support to 0.3.2 release add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528 49 cmake md hpp sh cpp txt CUDA WorkInProgress 288 297","Add CUDA 9.2 support to 0.3.2 release add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528 49 cmake md hpp sh cpp txt CUDA WorkInProgress 288 297","Move compiler compatibility checks into CMake add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528 49 cmake md hpp sh cpp txt CUDA WorkInProgress 288 297",Move compiler compatibility checks into CMake Add CUDA 9.2 support to 0.3.2 release 49 cmake md hpp sh cpp txt CUDA WorkInProgress 288 297,"Move compiler compatibility checks into CMake Add CUDA 9.2 support to 0.3.2 release add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528 49 cmake md hpp sh cpp txt 288 297","Move compiler compatibility checks into CMake Add CUDA 9.2 support to 0.3.2 release add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528 49 CUDA WorkInProgress 288 297","Move compiler compatibility checks into CMake Add CUDA 9.2 support to 0.3.2 release add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528 cmake md hpp sh cpp txt CUDA WorkInProgress","Move compiler compatibility checks into CMake Add CUDA 9.2 support to 0.3.2 release add CUDA 9.2 support #533 update Readme #530, #542, #536 update CMake checks #528",bulk
Added exception handling to the completion handlers.,Complexion handler exception handling,"Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread.",3,cs,P2:medium bug,147,101,"Added exception handling to the completion handlers. Complexion handler exception handling Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread. 3 cs P2:medium bug 147 101","Complexion handler exception handling Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread. 3 cs P2:medium bug 147 101","Added exception handling to the completion handlers. Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread. 3 cs P2:medium bug 147 101",Added exception handling to the completion handlers. Complexion handler exception handling 3 cs P2:medium bug 147 101,"Added exception handling to the completion handlers. Complexion handler exception handling Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread. 3 cs 147 101","Added exception handling to the completion handlers. Complexion handler exception handling Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread. 3 P2:medium bug 147 101","Added exception handling to the completion handlers. Complexion handler exception handling Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread. cs P2:medium bug","Added exception handling to the completion handlers. Complexion handler exception handling Added exception handling to all of the completion handlers. Without the exception handling, if an exception occurs within the handlers, the app will crash on Xamarin.iOS since it's being run on a new thread.",bug
Changed the absolute links in README to relative links for issue #180,PR for #180 change links to relative,I have updated the README to use relative links for issue #180,1,md,,53,53,Changed the absolute links in README to relative links for issue #180 PR for #180 change links to relative I have updated the README to use relative links for issue #180 1 md  53 53,PR for #180 change links to relative I have updated the README to use relative links for issue #180 1 md  53 53,Changed the absolute links in README to relative links for issue #180 I have updated the README to use relative links for issue #180 1 md  53 53,Changed the absolute links in README to relative links for issue #180 PR for #180 change links to relative 1 md  53 53,Changed the absolute links in README to relative links for issue #180 PR for #180 change links to relative I have updated the README to use relative links for issue #180 1 md 53 53,Changed the absolute links in README to relative links for issue #180 PR for #180 change links to relative I have updated the README to use relative links for issue #180 1  53 53,Changed the absolute links in README to relative links for issue #180 PR for #180 change links to relative I have updated the README to use relative links for issue #180 md ,Changed the absolute links in README to relative links for issue #180 PR for #180 change links to relative I have updated the README to use relative links for issue #180,documentation
Adds GeoChron Login Functionality,Credentials and Geochron,"The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL.",16,,,384,204,"Adds GeoChron Login Functionality Credentials and Geochron The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL. 16   384 204","Credentials and Geochron The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL. 16   384 204","Adds GeoChron Login Functionality The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL. 16   384 204",Adds GeoChron Login Functionality Credentials and Geochron 16   384 204,"Adds GeoChron Login Functionality Credentials and Geochron The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL. 16  384 204","Adds GeoChron Login Functionality Credentials and Geochron The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL. 16  384 204","Adds GeoChron Login Functionality Credentials and Geochron The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL.  ","Adds GeoChron Login Functionality Credentials and Geochron The user can now validate their credentials and login to Geochron, and can also choose to specify an IGSN to download instead of a website URL.",feature
using apache commons for lcs,refactoring,removing redundant checks using apache commons lcs,3,xml java,,56,140,using apache commons for lcs refactoring removing redundant checks using apache commons lcs 3 xml java  56 140,refactoring removing redundant checks using apache commons lcs 3 xml java  56 140,using apache commons for lcs removing redundant checks using apache commons lcs 3 xml java  56 140,using apache commons for lcs refactoring 3 xml java  56 140,using apache commons for lcs refactoring removing redundant checks using apache commons lcs 3 xml java 56 140,using apache commons for lcs refactoring removing redundant checks using apache commons lcs 3  56 140,using apache commons for lcs refactoring removing redundant checks using apache commons lcs xml java ,using apache commons for lcs refactoring removing redundant checks using apache commons lcs,bulk
Updated .gitignore to ignore netbeans nbproject directory.,WIP 3.1 Behaviors refactoring,Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively.,17,php gitignore,CLASigned android linux,677,456,Updated .gitignore to ignore netbeans nbproject directory. WIP 3.1 Behaviors refactoring Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively. 17 php gitignore CLASigned android linux 677 456,WIP 3.1 Behaviors refactoring Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively. 17 php gitignore CLASigned android linux 677 456,Updated .gitignore to ignore netbeans nbproject directory. Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively. 17 php gitignore CLASigned android linux 677 456,Updated .gitignore to ignore netbeans nbproject directory. WIP 3.1 Behaviors refactoring 17 php gitignore CLASigned android linux 677 456,Updated .gitignore to ignore netbeans nbproject directory. WIP 3.1 Behaviors refactoring Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively. 17 php gitignore 677 456,Updated .gitignore to ignore netbeans nbproject directory. WIP 3.1 Behaviors refactoring Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively. 17 CLASigned android linux 677 456,Updated .gitignore to ignore netbeans nbproject directory. WIP 3.1 Behaviors refactoring Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively. php gitignore CLASigned android linux,Updated .gitignore to ignore netbeans nbproject directory. WIP 3.1 Behaviors refactoring Here is my attempt of moving file and image storage methods to dedicated behaviors. Methods and callbacks from FileStorageTable has been moved to FileStorageBehavior and from ImageStorageTable to ImageStorageBehavior respectively.,bulk
Rename r31 to sp for aarch64,Implement memory allocation for aarch64 Linux,,10,json h cpp ,CLASigned android linux,134,47,Rename r31 to sp for aarch64 Implement memory allocation for aarch64 Linux  10 json h cpp  CLASigned android linux 134 47,Implement memory allocation for aarch64 Linux  10 json h cpp  CLASigned android linux 134 47,Rename r31 to sp for aarch64  10 json h cpp  CLASigned android linux 134 47,Rename r31 to sp for aarch64 Implement memory allocation for aarch64 Linux 10 json h cpp  CLASigned android linux 134 47,Rename r31 to sp for aarch64 Implement memory allocation for aarch64 Linux  10 json h cpp  134 47,Rename r31 to sp for aarch64 Implement memory allocation for aarch64 Linux  10 CLASigned android linux 134 47,Rename r31 to sp for aarch64 Implement memory allocation for aarch64 Linux  json h cpp  CLASigned android linux,Rename r31 to sp for aarch64 Implement memory allocation for aarch64 Linux ,feature
implements Twin design pattern ,implements Twin design pattern #63,please help review,11,xml gitignore ucls md java,,326,0,implements Twin design pattern  implements Twin design pattern #63 please help review 11 xml gitignore ucls md java  326 0,implements Twin design pattern #63 please help review 11 xml gitignore ucls md java  326 0,implements Twin design pattern  please help review 11 xml gitignore ucls md java  326 0,implements Twin design pattern  implements Twin design pattern #63 11 xml gitignore ucls md java  326 0,implements Twin design pattern  implements Twin design pattern #63 please help review 11 xml gitignore ucls md java 326 0,implements Twin design pattern  implements Twin design pattern #63 please help review 11  326 0,implements Twin design pattern  implements Twin design pattern #63 please help review xml gitignore ucls md java ,implements Twin design pattern  implements Twin design pattern #63 please help review,other
fixed garbage in console for windows,recent changes,,12,h cpp makefile rc,,311,109,fixed garbage in console for windows recent changes  12 h cpp makefile rc  311 109,recent changes  12 h cpp makefile rc  311 109,fixed garbage in console for windows  12 h cpp makefile rc  311 109,fixed garbage in console for windows recent changes 12 h cpp makefile rc  311 109,fixed garbage in console for windows recent changes  12 h cpp makefile rc 311 109,fixed garbage in console for windows recent changes  12  311 109,fixed garbage in console for windows recent changes  h cpp makefile rc ,fixed garbage in console for windows recent changes ,bulk
Do not return success when PTrace::execute fails.,Do not return success when Ptrace::execute fails. ,,1,cpp,,2,1,Do not return success when PTrace::execute fails. Do not return success when Ptrace::execute fails.   1 cpp  2 1,Do not return success when Ptrace::execute fails.   1 cpp  2 1,Do not return success when PTrace::execute fails.  1 cpp  2 1,Do not return success when PTrace::execute fails. Do not return success when Ptrace::execute fails.  1 cpp  2 1,Do not return success when PTrace::execute fails. Do not return success when Ptrace::execute fails.   1 cpp 2 1,Do not return success when PTrace::execute fails. Do not return success when Ptrace::execute fails.   1  2 1,Do not return success when PTrace::execute fails. Do not return success when Ptrace::execute fails.   cpp ,Do not return success when PTrace::execute fails. Do not return success when Ptrace::execute fails.  ,bug
no previous/next link if first/last post,no previous/next link if first/last post,,2,php css,,8,4,no previous/next link if first/last post no previous/next link if first/last post  2 php css  8 4,no previous/next link if first/last post  2 php css  8 4,no previous/next link if first/last post  2 php css  8 4,no previous/next link if first/last post no previous/next link if first/last post 2 php css  8 4,no previous/next link if first/last post no previous/next link if first/last post  2 php css 8 4,no previous/next link if first/last post no previous/next link if first/last post  2  8 4,no previous/next link if first/last post no previous/next link if first/last post  php css ,no previous/next link if first/last post no previous/next link if first/last post ,feature
Fixed tab name changing problem,Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time.,,1,py,,4,3,Fixed tab name changing problem Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time.  1 py  4 3,Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time.  1 py  4 3,Fixed tab name changing problem  1 py  4 3,Fixed tab name changing problem Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time. 1 py  4 3,Fixed tab name changing problem Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time.  1 py 4 3,Fixed tab name changing problem Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time.  1  4 3,Fixed tab name changing problem Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time.  py ,Fixed tab name changing problem Fixed tab name changing problem which occurs when one tries to change the name of a tab second time given that he left it blank when he tried to change for first time. ,bug
Display warning when navigating away from an unsaved modal form,Easier closing of dialogs,"Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown.",7,php js,,53,18,"Display warning when navigating away from an unsaved modal form Easier closing of dialogs Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown. 7 php js  53 18","Easier closing of dialogs Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown. 7 php js  53 18","Display warning when navigating away from an unsaved modal form Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown. 7 php js  53 18",Display warning when navigating away from an unsaved modal form Easier closing of dialogs 7 php js  53 18,"Display warning when navigating away from an unsaved modal form Easier closing of dialogs Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown. 7 php js 53 18","Display warning when navigating away from an unsaved modal form Easier closing of dialogs Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown. 7  53 18","Display warning when navigating away from an unsaved modal form Easier closing of dialogs Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown. php js ","Display warning when navigating away from an unsaved modal form Easier closing of dialogs Allow closing of dialogs by clicking on the background area around it, as per request #3791 When the dialog is closed in this manner, if it contains a form with changed data present a warning that there are unsaved changes. Likewise if the user attempts to navigate away from the page, eg page reload, bookmark click, address bar entry. If the dialog does not contain a form or the data remains unchanged no warning messages are shown.",feature
Correct typos.,Correct English text,Correct English text.,33,php,,33,33,Correct typos. Correct English text Correct English text. 33 php  33 33,Correct English text Correct English text. 33 php  33 33,Correct typos. Correct English text. 33 php  33 33,Correct typos. Correct English text 33 php  33 33,Correct typos. Correct English text Correct English text. 33 php 33 33,Correct typos. Correct English text Correct English text. 33  33 33,Correct typos. Correct English text Correct English text. php ,Correct typos. Correct English text Correct English text.,translation
Add font size +/-,Add font +/- and hide close button when only one tab is present,Also some pep8,5,py,,172,89,Add font size +/- Add font +/- and hide close button when only one tab is present Also some pep8 5 py  172 89,Add font +/- and hide close button when only one tab is present Also some pep8 5 py  172 89,Add font size +/- Also some pep8 5 py  172 89,Add font size +/- Add font +/- and hide close button when only one tab is present 5 py  172 89,Add font size +/- Add font +/- and hide close button when only one tab is present Also some pep8 5 py 172 89,Add font size +/- Add font +/- and hide close button when only one tab is present Also some pep8 5  172 89,Add font size +/- Add font +/- and hide close button when only one tab is present Also some pep8 py ,Add font size +/- Add font +/- and hide close button when only one tab is present Also some pep8,bulk
Fix issue #78,Fix issue 78 and 81,,4,cs,,109,51,Fix issue #78 Fix issue 78 and 81  4 cs  109 51,Fix issue 78 and 81  4 cs  109 51,Fix issue #78  4 cs  109 51,Fix issue #78 Fix issue 78 and 81 4 cs  109 51,Fix issue #78 Fix issue 78 and 81  4 cs 109 51,Fix issue #78 Fix issue 78 and 81  4  109 51,Fix issue #78 Fix issue 78 and 81  cs ,Fix issue #78 Fix issue 78 and 81 ,bug
Added history button functionality,Added history button functionality,,3,xml html ts,,32,3,Added history button functionality Added history button functionality  3 xml html ts  32 3,Added history button functionality  3 xml html ts  32 3,Added history button functionality  3 xml html ts  32 3,Added history button functionality Added history button functionality 3 xml html ts  32 3,Added history button functionality Added history button functionality  3 xml html ts 32 3,Added history button functionality Added history button functionality  3  32 3,Added history button functionality Added history button functionality  xml html ts ,Added history button functionality Added history button functionality ,feature
